Id,Location,CoverType,StartDate ,EndDate,PolicyTenure,NetPremium,Action,VehicleType,Status
5000419,Kilifi,PRIVATE TOR,19-Apr-20,18-Apr-25,5,4155,EXTEND,PRIVATE,ACTIVE
5000420,Kilifi,PRIVATE COMPREHENSIVE,19-Apr-20,18-Apr-25,5,700,EXTEND,PRIVATE,ACTIVE
5000421,Kilifi,PRIVATE TOR,19-Apr-20,18-May-24,5,4155,EXTEND,PRIVATE,ACTIVE
5000422,Kilifi,PSV TPO TAXI,17-Apr-20,16-Apr-25,4,700,EXTEND,COMMERCIAL,ACTIVE
5000423,Kilifi,PRIVATE TPO,18-Apr-20,17-Apr-25,5,4387,EXTEND,PRIVATE,ACTIVE
5000424,Kilifi,PRIVATE TOR,6-May-20,5-Jun-24,5,750,EXTEND,PRIVATE,ACTIVE
5000425,Kilifi,PRIVATE TPO,3-May-20,2-May-25,4,3881,EXTEND,PRIVATE,ACTIVE
5000426,Kilifi,COMMERCIAL TOR OWN GOODS,2-May-20,1-Jun-24,5,750,EXTEND,COMMERCIAL,ACTIVE
5000427,Kilifi,COMMERCIAL TOR GENERAL CARTAGE,2-May-20,1-Jun-24,4,750,EXTEND,COMMERCIAL,ACTIVE
5000428,Kilifi,PRIVATE TOR,30-Apr-20,29-May-24,4,750,EXTEND,PRIVATE,ACTIVE
5000429,Kilifi,PRIVATE TOR,30-Apr-20,29-May-24,4,750,EXTEND,PRIVATE,ACTIVE
5000430,Kilifi,COMMERCIAL TPO GENERAL CARTAGE,30-Apr-20,29-May-25,4,4150,EXTEND,COMMERCIAL,ACTIVE
5000431,Kilifi,COMMERCIAL TOR GENERAL CARTAGE,29-Apr-20,28-May-24,5,750,EXTEND,COMMERCIAL,ACTIVE
5000432,Kilifi,PRIVATE TOR,29-Apr-20,28-May-24,4,750,EXTEND,PRIVATE,ACTIVE
5000433,Kilifi,PRIVATE TOR,28-Apr-20,11-May-24,4,0,EXTEND,PRIVATE,NOT ACTIVE 
5000434,Kilifi,PRIVATE TOR,7-May-20,6-Jun-24,4,700,EXTEND,PRIVATE,ACTIVE
5000435,Kilifi,PRIVATE TPO,27-Apr-20,26-Apr-25,4,1870,EXTEND,PRIVATE,ACTIVE
5000436,Kilifi,PRIVATE TOR,26-Apr-20,25-May-24,5,750,EXTEND,PRIVATE,ACTIVE
5000437,Kilifi,PRIVATE TOR,26-Apr-20,25-May-24,4,750,EXTEND,PRIVATE,ACTIVE
5000438,Kilifi,PRIVATE TPO,26-Apr-20,25-Apr-25,4,3881,EXTEND,PRIVATE,ACTIVE
5000439,Kilifi,PRIVATE TPO,26-Apr-20,24-Apr-25,5,1870,EXTEND,PRIVATE,ACTIVE
5000440,Kilifi,PRIVATE TOR ,25-May-20,24-Jun-24,5,650,EXTEND,PRIVATE,ACTIVE
5000441,Kilifi,PRIVATE TOR,26-May-20,25-Jun-24,4,650,EXTEND,PRIVATE,ACTIVE
5000442,Kilifi,COMMERCIAL TOR OWN GOODS,24-May-20,23-Jun-24,4,650,EXTEND,COMMERCIAL,ACTIVE
5000443,Kilifi,PRIVATE TOR,24-May-20,23-Jun-24,4,650,EXTEND,PRIVATE,ACTIVE
5000444,Kilifi,PRIVATE TOR,24-May-20,23-Jun-24,4,650,EXTEND,PRIVATE,ACTIVE
5000445,Kilifi,PRIVATE TOR,24-May-20,23-Jun-24,4,650,EXTEND,PRIVATE,ACTIVE
5000446,Kilifi,COMMERCIAL TOR OWN GOODS,23-May-20,22-Jun-24,4,650,EXTEND,COMMERCIAL,ACTIVE
5000447,Kilifi,PRIVATE COMPREHENSIVE,22-May-20,21-May-25,4,4150,EXTEND,PRIVATE,ACTIVE
5000448,Kilifi,PRIVATE COMPREHENSIVE,22-May-20,21-May-25,5,5176,EXTEND,PRIVATE,ACTIVE
5000449,Kilifi,PRIVATE TOR,22-May-20,21-Jun-24,5,650,EXTEND,PRIVATE,ACTIVE
5000450,Kilifi,PRIVATE TPO,21-May-20,20-May-25,4,3300,EXTEND,PRIVATE,ACTIVE
5000451,Kilifi,PRIVATE TPO,21-May-20,20-May-25,5,3300,EXTEND,PRIVATE,ACTIVE
5000452,Kilifi,PRIVATE TOR,21-May-20,20-Jun-24,5,650,EXTEND,PRIVATE,ACTIVE
5000453,Kilifi,PRIVATE TPO,21-May-20,20-May-25,4,3300,EXTEND,PRIVATE,ACTIVE
5000454,Kilifi,COMMERCIAL TOR OWN GOODS,20-May-20,19-Jun-24,5,650,EXTEND,COMMERCIAL,ACTIVE
5000455,Kilifi,PRIVATE TPO ,20-May-20,19-May-25,4,0,EXTEND,PRIVATE,NOT ACTIVE 
5000456,Kilifi,PRIVATE COMPREHENSIVE,22-May-20,21-May-25,5,5225,EXTEND,PRIVATE,ACTIVE
5000457,Kilifi,PRIVATE TOR,18-May-20,17-Jun-24,5,650,EXTEND,PRIVATE,ACTIVE 
5000458,Kilifi,PRIVATE TPO,18-May-20,17-May-25,4,3300,EXTEND,PRIVATE,ACTIVE
5000459,Kilifi,PRIVATE TPO,17-May-20,16-May-25,5,3300,EXTEND,PRIVATE,ACTIVE
5000460,Kilifi,PRIVATE TOR,16-May-20,15-Jun-24,5,650,EXTEND,PRIVATE,ACTIVE
5000461,Kilifi,COMMERCIAL TOR OWN GOODS,16-May-20,15-Jun-24,4,650,EXTEND,COMMERCIAL,ACTIVE
5000462,Kilifi,PRIVATE TOR,15-May-20,14-Jun-24,4,650,EXTEND,PRIVATE,ACTIVE
5000463,Kilifi,COMMERCIAL TPO OWN GOODS,14-May-20,13-May-25,4,0,EXTEND,COMMERCIAL,NOT ACTIVE 
